Date,Description,Withdraw,Deposit,Closing Balance
,,,,75000
01-01-2019,ABC Ltd,5000,,70000
01-05-2019,XYZ Ltd,,3000,73000
01-09-2019,v Ltd,34200,,38800
1/13/2019,LMN Ltd,,61300,100100
1/17/2019,R pvt ltd,49000,,51100
1/21/2019,ABC Ltd,,563,51663
1/25/2019,XYZ Ltd,2384,,49279
1/29/2019,v Ltd,,7695,56974
02-02-2019,LMN Ltd,4867,,52107
02-06-2019,R pvt ltd,,3423,55530
02-10-2019,ABC Ltd,897,,54633
2/14/2019,XYZ Ltd,54,,54579
2/18/2019,v Ltd,456,,54123
2/22/2019,LMN Ltd,67,,54056
2/26/2019,R pvt ltd,,7868,61924
03-02-2019,ABC Ltd,,878,62802
03-06-2019,XYZ Ltd,,67,62869
03-10-2019,v Ltd,76,,62793
3/14/2019,LMN Ltd,,9807,72600
3/18/2019,R pvt ltd,5000,,67600
3/22/2019,ABC Ltd,,3000,70600
3/26/2019,XYZ Ltd,34200,,36400
3/30/2019,v Ltd,,61300,97700
04-03-2019,LMN Ltd,49000,,48700
04-07-2019,R pvt ltd,,563,49263
04-11-2019,ABC Ltd,2384,,46879
4/15/2019,XYZ Ltd,,7695,54574
4/19/2019,v Ltd,4867,,49707
4/23/2019,LMN Ltd,,3423,53130
4/27/2019,R pvt ltd,897,,52233
05-01-2019,ABC Ltd,54,,52179
05-05-2019,XYZ Ltd,456,,51723
05-09-2019,v Ltd,67,,51656
5/13/2019,LMN Ltd,,7868,59524
5/17/2019,R pvt ltd,,878,60402
5/21/2019,ABC Ltd,,67,60469
5/25/2019,XYZ Ltd,76,,60393
5/29/2019,v Ltd,,9807,70200
06-02-2019,LMN Ltd,5000,,65200
06-06-2019,R pvt ltd,,3000,68200
06-10-2019,ABC Ltd,34200,,34000
6/14/2019,XYZ Ltd,,61300,95300
6/18/2019,v Ltd,49000,,46300
6/22/2019,LMN Ltd,,563,46863
6/26/2019,R pvt ltd,2384,,44479
6/30/2019,ABC Ltd,,7695,52174
07-04-2019,XYZ Ltd,4867,,47307
07-08-2019,v Ltd,,3423,50730
07-12-2019,LMN Ltd,897,,49833
